titulo,tipo,categoria,descripcion,telefono,direccion,rating,cantidad_reviews,url,nivel_precio,quality_score,verificado,estado_actual,latitud,longitud
HACIENDA COFFEE COMPANY,Bar,Coffee shop,Cafetería de Especialidad,,"DKO, Armenia 1929, C1414 Cdad. Autónoma de Buenos Aires",4.2,1617,https://www.facebook.com/profile.php?id=100087907856996,,31.033573609997436,True,close,-34.5880355,-58.4249817
HACIENDA COFFEE COMPANY,Cafetería,Coffee shop,Cafetería de Especialidad,,"DKO, Armenia 1929, C1414 Cdad. Autónoma de Buenos Aires",4.2,1617,https://www.facebook.com/profile.php?id=100087907856996,,31.033573609997436,True,close,-34.5880355,-58.4249817
Crisol Palermo,Cafetería,Cafe,Trabajamos todo el día para recibirlos con calidez.,5491134713594.0,"Güemes 3702, C1425BKR C1425BKR, Cdad. Autónoma de Buenos Aires",4.7,730,https://www.instagram.com/siemprecrisol,,30.99374326082396,True,close,-34.588150899999995,-58.414787
Al Diablo Coffee Roasters,Cafetería,Coffee shop,Tostamos y servimos café de especialidad,,"Costa Rica 4752, C1414 Cdad. Autónoma de Buenos Aires",4.5,974,,,30.970968619490314,True,open,-34.5878211,-58.427880599999995
ELECTRICA pizza,Restaurante,Restaurant,"Pizzeria en un viejo taller mecanico.
Masa madre, harinas organicas. Horno a leña. Faina, focaccias, vermu, birras y el mejor flan del condado.",5491122362852.0,"Julián Álvarez 1295, C1414 Cdad. Autónoma de Buenos Aires",4.0,2298,https://www.instagram.com/electricapizza/?hl=en,moderate,30.960918099052726,True,open,-34.5943934,-58.4263079
Domani Ristoranti & Bar,Restaurante,Restaurante,,5491125091206.0,"Jerónimo Salguero 3000, C1425DFN Cdad. Autónoma de Buenos Aires",4.0,2289,,moderate,30.94522838619314,True,close,-34.5776403,-58.4060448
Novecento Cañitas,Restaurante,Argentinian restaurant,"Bistro chain serving a menu of Argentinian dishes & Italian pastas, plus wine & cocktails.",5491147781900.0,"Báez 199, C1426 Cdad. Autónoma de Buenos Aires",4.1,1892,http://www.novecentobistro.com/,expensive,30.93826441995822,True,close,-34.5726198,-58.4299932
El quinto sueño,Bar,Bar,,,"El Salvador 6014, C1414 Cdad. Autónoma de Buenos Aires",4.2,1574,,inexpensive,30.920444315290883,True,close,-34.579997299999995,-58.4396719
Sticky icky,Bar,Building materials market,"Sticky icky es un bar de playa!
Ubicado en el corazón de Palermo desde 2018, sin grandes carteles llegas a la puerta,
entrando por un pasillo y subiendo por una escalera abierta descubrís una terraza calefaccionada en los días fríos y muy concurrida en las tardes y noches de calor ... con tragos de Autor, frutas tropicales, bebidas importadas, variedad en cerveza tirada bien fría que podes acompañar con deliciosas tapas de mar, tequeños venezolanos y las excelentes papas Jah imperdibles 👌🏽..
Un ambiente amigable, íntimo, divertido.
Ideal, para disfrutar con amigos, primeras citas como para reunirte o festejar con quien quieras.
Muy agradable y buena energía.
No dejes de visitarnos.
GZD RULES",,"Thames 1335, C1414 Cdad. Autónoma de Buenos Aires",4.3,1310,,moderate,30.867745580183907,True,temporarily_closed,-34.5900062,-58.4338322
La Estancia,Restaurante,Argentinian restaurant,,5491148318015.0,"Av. Sta. Fe 3954, C1425 BHO, Cdad. Autónoma de Buenos Aires",3.9,2650,,moderate,30.7424996045272,True,open,-34.583105599999996,-58.419219
FRUTO CAFÉ,Cafetería,Cafe,Cafetería de Especialidad,,"Jorge Luis Borges 2021, C1414 Cdad. Autónoma de Buenos Aires",4.7,691,,inexpensive,30.736053991403047,True,close,-34.5859867,-58.425797499999994
Ristretto Café,Restaurante,Restaurant,,5491148224800.0,"Av. Sta. Fe 3199, C1425 Cdad. Autónoma de Buenos Aires",4.1,1798,,moderate,30.729443559197186,True,open,-34.589023999999995,-58.409850299999995
Orlandito Coffee,Restaurante,Espresso bar,"Cafetería inspirada en Disney. Ofrecemos pastelería, variedad de desayunos y meriendas. Menús del día especialidades de la casa. Ubicado en Fitz Roy 2074, barrio Palermo Hollywood, CABA.",,"Fitz Roy 2074, C1414 Cdad. Autónoma de Buenos Aires",4.1,1797,,,30.727163881629416,True,open,-34.581010899999995,-58.4329694
Fútbol Noble,Bar,Bar,,5491128500526.0,"Julio Argentino Noble 4100, C1425 Cdad. Autónoma de Buenos Aires",4.3,1266,http://futbolnoble.com.ar/,moderate,30.720950875380893,True,open,-34.5600759,-58.421147899999994
